model,loss,accuracy,f1,precision,recall
coordinates25,0.7107957005500793,0.6266666650772095,0.6435299099939424,0.650818530128875,0.64
coordinates50,0.706503689289093,0.6399999856948853,0.566955266955267,0.7787878787878788,0.64
coordinates100,0.6423044800758362,0.6399999856948853,0.6711814360042943,0.6672472301654221,0.6766666666666666
coordinates25,nan,0.3243243098258972,0.1588527302813017,0.10518626734842952,0.32432432432432434
coordinates50,nan,0.3243243098258972,0.1588527302813017,0.10518626734842952,0.32432432432432434
coordinates100,nan,0.3288590610027313,0.16276862585587418,0.10814828160893654,0.3288590604026846
coordinates25,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
coordinates50,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
coordinates100,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
coordinates25,0.7263309955596924,0.5866666436195374,0.6922908121064804,0.7436722436722437,0.6933333333333334
coordinates50,0.7117007970809937,0.6000000238418579,0.6542857142857142,0.6864069264069264,0.6733333333333333
coordinates100,0.12358932197093964,0.949999988079071,0.9395100312531505,0.9491525423728814,0.94
coordinates25,nan,0.3243243098258972,0.1588527302813017,0.10518626734842952,0.32432432432432434
coordinates50,nan,0.3243243098258972,0.1588527302813017,0.10518626734842952,0.32432432432432434
coordinates100,nan,0.3288590610027313,0.16276862585587418,0.10814828160893654,0.3288590604026846
coordinates25,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
coordinates50,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
coordinates100,nan,0.3333333432674408,0.16666666666666666,0.11111111111111109,0.3333333333333333
