model,time
coordinates,4297270700
coordinates,3810256800
coordinates,3795614400
coordinates,3721136700
coordinates,3739111100
coordinates,3796701800
coordinates,3854604400
coordinates,3698060300
coordinates,3775859000
coordinates,3809867600
graphs,3829161600
graphs,3760554900
graphs,3745381200
graphs,3817443800
graphs,3774928800
graphs,3731115600
graphs,3783534800
graphs,3782352200
graphs,3766712300
graphs,3733259200
combined,3873728800
combined,3744397200
combined,3709378000
combined,3792870000
combined,3745820000
combined,3749349700
combined,3767979300
combined,3778700500
combined,3822286400
combined,3769184300
